IP,ASN,TIME,ID,DESC
"196.196.216.13","AS63119","2017-08-29T06:57:22.546423","1","Heartbleed"
"196.196.216.19","AS63119","2017-08-29T06:54:43.434535","1","Heartbleed"
"165.231.162.103","AS63119","2017-08-29T06:53:41.969704","1","Heartbleed"
"165.231.172.101",,"2017-08-29T06:53:19.506539","1","Heartbleed"
"196.196.223.208",,"2017-08-29T06:46:48.242837","1","Heartbleed"
"196.196.219.138","AS63119","2017-08-29T06:46:45.160731","1","Heartbleed"
"196.196.217.242","AS63119","2017-08-29T06:39:11.550184","1","Heartbleed"
"165.231.162.20","AS63119","2017-08-29T06:36:44.101917","1","Heartbleed"
"196.196.219.132","AS63119","2017-08-29T06:34:27.058926","1","Heartbleed"
"165.231.175.141",,"2017-08-29T06:33:49.329968","1","Heartbleed"
"165.231.172.189",,"2017-08-29T06:33:09.835958","1","Heartbleed"
"165.231.171.90",,"2017-08-29T06:32:36.435332","1","Heartbleed"
"80.79.124.28","AS34702","2017-08-29T06:26:35.433193","1","Heartbleed"
"185.169.68.26",,"2017-08-29T06:26:30.547080","1","Heartbleed"
"165.231.162.123","AS63119","2017-08-29T06:26:11.748132","1","Heartbleed"
"196.196.217.187","AS63119","2017-08-29T06:23:16.120543","1","Heartbleed"
"165.231.173.34",,"2017-08-29T06:23:05.924798","1","Heartbleed"
"196.196.221.87","AS63119","2017-08-29T06:22:39.228439","1","Heartbleed"
"196.196.223.146",,"2017-08-29T06:22:30.821018","1","Heartbleed"
"165.231.163.146","AS63119","2017-08-29T06:20:51.765406","1","Heartbleed"
"165.231.172.88",,"2017-08-29T06:19:50.781142","1","Heartbleed"
"196.196.223.123",,"2017-08-29T06:18:14.349027","1","Heartbleed"
"165.231.165.43","AS63119","2017-08-29T06:17:22.532890","1","Heartbleed"
"165.231.162.230","AS63119","2017-08-29T06:12:10.116970","1","Heartbleed"
"196.196.216.94","AS63119","2017-08-29T06:11:42.917765","1","Heartbleed"
"196.196.217.210","AS63119","2017-08-29T06:06:47.858980","1","Heartbleed"
"165.231.162.13","AS63119","2017-08-29T06:06:24.631374","1","Heartbleed"
"196.196.223.142",,"2017-08-29T06:05:49.985923","1","Heartbleed"
"165.231.163.7","AS63119","2017-08-29T06:05:14.469710","1","Heartbleed"
"165.231.171.230",,"2017-08-29T06:04:43.868355","1","Heartbleed"
"165.231.163.119","AS63119","2017-08-29T06:03:45.347610","1","Heartbleed"
"165.231.172.78",,"2017-08-29T06:03:41.942999","1","Heartbleed"
"165.231.172.140",,"2017-08-29T06:03:28.747730","1","Heartbleed"
"165.231.171.246",,"2017-08-29T06:03:21.499694","1","Heartbleed"
"196.196.218.31","AS63119","2017-08-29T05:53:02.480434","1","Heartbleed"
"196.196.216.213","AS63119","2017-08-29T05:51:04.489499","1","Heartbleed"
"196.196.217.212","AS63119","2017-08-29T05:51:03.844469","1","Heartbleed"
"196.196.218.9","AS63119","2017-08-29T05:51:02.580202","1","Heartbleed"
"196.196.216.167","AS63119","2017-08-29T05:50:55.493400","1","Heartbleed"
"165.231.163.176","AS63119","2017-08-29T05:48:49.089794","1","Heartbleed"
"165.231.171.250",,"2017-08-29T05:48:24.528216","1","Heartbleed"
"165.231.173.176",,"2017-08-29T05:48:09.225720","1","Heartbleed"
"165.231.171.151",,"2017-08-29T05:47:56.946915","1","Heartbleed"
"165.231.163.171","AS63119","2017-08-29T05:42:19.656631","1","Heartbleed"
"165.231.163.184","AS63119","2017-08-29T05:41:39.203017","1","Heartbleed"
"196.196.217.137","AS63119","2017-08-29T05:39:13.596084","1","Heartbleed"
"196.196.223.234",,"2017-08-29T05:38:12.994189","1","Heartbleed"
"165.231.162.104","AS63119","2017-08-29T05:36:04.789856","1","Heartbleed"
"165.231.171.162",,"2017-08-29T05:35:17.020333","1","Heartbleed"
"196.196.218.131","AS63119","2017-08-29T05:34:17.637983","1","Heartbleed"
"165.231.174.112",,"2017-08-29T05:31:38.736838","1","Heartbleed"
"165.231.171.195",,"2017-08-29T05:31:21.739447","1","Heartbleed"
"165.231.174.24",,"2017-08-29T05:29:27.551111","1","Heartbleed"
"196.196.221.42","AS63119","2017-08-29T05:26:59.881877","1","Heartbleed"
"196.196.217.106","AS63119","2017-08-29T05:25:35.892366","1","Heartbleed"
"196.196.218.30","AS63119","2017-08-29T05:23:03.930386","1","Heartbleed"
"196.196.217.184","AS63119","2017-08-29T05:20:03.227386","1","Heartbleed"
"165.231.175.179",,"2017-08-29T05:17:58.369475","1","Heartbleed"
"165.231.172.122",,"2017-08-29T05:16:34.507399","1","Heartbleed"
"196.196.218.149","AS63119","2017-08-29T05:16:16.084280","1","Heartbleed"
"196.196.217.242","AS63119","2017-08-29T05:12:17.458576","1","Heartbleed"
"165.231.165.105","AS63119","2017-08-29T05:11:36.755261","1","Heartbleed"
"165.231.171.132",,"2017-08-29T05:09:13.505324","1","Heartbleed"
"196.196.219.175","AS63119","2017-08-29T05:08:18.118735","1","Heartbleed"
"80.79.124.26","AS34702","2017-08-29T05:08:04.716517","1","Heartbleed"
"165.231.171.234",,"2017-08-29T05:07:38.460554","1","Heartbleed"
"196.196.218.20","AS63119","2017-08-29T05:07:14.502718","1","Heartbleed"
"165.231.173.162",,"2017-08-29T05:05:25.669786","1","Heartbleed"
"165.231.162.111","AS63119","2017-08-29T05:04:50.979859","1","Heartbleed"
"165.231.173.61",,"2017-08-29T05:03:55.610425","1","Heartbleed"
"165.231.172.206",,"2017-08-29T05:03:15.729809","1","Heartbleed"
"185.169.70.226",,"2017-08-29T05:02:38.717684","1","Heartbleed"
"165.231.175.124",,"2017-08-29T05:01:55.235380","1","Heartbleed"
"165.231.162.206","AS63119","2017-08-29T04:59:02.933842","1","Heartbleed"
"196.196.217.183","AS63119","2017-08-29T04:58:34.487067","1","Heartbleed"
"213.168.27.75","AS3249","2017-08-29T04:54:16.618175","1","Heartbleed"
"165.231.162.49","AS63119","2017-08-29T04:53:02.647098","1","Heartbleed"
"165.231.171.102",,"2017-08-29T04:52:36.671344","1","Heartbleed"
"165.231.171.235",,"2017-08-29T04:47:12.665874","1","Heartbleed"
"196.196.218.96","AS63119","2017-08-29T04:45:14.435405","1","Heartbleed"
"196.196.216.207","AS63119","2017-08-29T04:43:52.465993","1","Heartbleed"
"165.231.173.149",,"2017-08-29T04:43:24.165884","1","Heartbleed"
"80.79.113.247","AS34702","2017-08-29T04:40:07.577389","1","Heartbleed"
"165.231.163.27","AS63119","2017-08-29T04:36:52.863110","1","Heartbleed"
"165.231.175.163",,"2017-08-29T04:33:48.037654","1","Heartbleed"
"165.231.163.62","AS63119","2017-08-29T04:29:34.716788","1","Heartbleed"
"165.231.165.11","AS63119","2017-08-29T04:28:41.671017","1","Heartbleed"
"165.231.174.131",,"2017-08-29T04:26:37.142352","1","Heartbleed"
"185.169.71.201",,"2017-08-29T04:24:34.359130","1","Heartbleed"
"196.196.217.196","AS63119","2017-08-29T04:23:15.153479","1","Heartbleed"
"165.231.165.36","AS63119","2017-08-29T04:22:57.899161","1","Heartbleed"
"196.196.217.190","AS63119","2017-08-29T04:18:30.507048","1","Heartbleed"
"196.196.217.29","AS63119","2017-08-29T04:17:48.533291","1","Heartbleed"
"196.196.217.43","AS63119","2017-08-29T04:17:17.430257","1","Heartbleed"
"165.231.174.5",,"2017-08-29T04:16:08.122789","1","Heartbleed"
"165.231.172.104",,"2017-08-29T04:13:59.547525","1","Heartbleed"
"196.196.216.54","AS63119","2017-08-29T04:10:43.721894","1","Heartbleed"
"196.196.218.114","AS63119","2017-08-29T04:09:43.485056","1","Heartbleed"
"165.231.171.148",,"2017-08-29T04:07:33.587536","1","Heartbleed"
"80.79.113.36","AS34702","2017-08-29T04:06:44.335019","1","Heartbleed"
"165.231.173.52",,"2017-08-29T04:06:37.689845","1","Heartbleed"
"196.196.216.172","AS63119","2017-08-29T04:05:01.509699","1","Heartbleed"
"165.231.171.170",,"2017-08-29T04:05:00.573046","1","Heartbleed"
"196.196.223.84",,"2017-08-29T04:03:49.082355","1","Heartbleed"
"80.79.113.42","AS34702","2017-08-29T04:01:31.019898","1","Heartbleed"
"196.196.217.97","AS63119","2017-08-29T04:01:19.346978","1","Heartbleed"
"196.196.218.89","AS63119","2017-08-29T03:55:21.649356","1","Heartbleed"
"196.196.217.201","AS63119","2017-08-29T03:53:37.749966","1","Heartbleed"
"165.231.163.3","AS63119","2017-08-29T03:53:27.487579","1","Heartbleed"
"196.196.217.83","AS63119","2017-08-29T03:51:00.904708","1","Heartbleed"
"165.231.173.166",,"2017-08-29T03:48:04.125026","1","Heartbleed"
"165.231.172.225",,"2017-08-29T03:47:35.899040","1","Heartbleed"
"196.196.223.141",,"2017-08-29T03:42:27.802053","1","Heartbleed"
"196.196.223.77",,"2017-08-29T03:41:26.118691","1","Heartbleed"
"165.231.172.149",,"2017-08-29T03:39:55.025663","1","Heartbleed"
"165.231.172.254",,"2017-08-29T03:39:20.408418","1","Heartbleed"
"196.196.217.195","AS63119","2017-08-29T03:39:09.747970","1","Heartbleed"
"165.231.171.219",,"2017-08-29T03:37:20.607705","1","Heartbleed"
"185.169.68.26",,"2017-08-29T03:37:07.057234","1","Heartbleed"
"196.196.221.145","AS63119","2017-08-29T03:35:27.959309","1","Heartbleed"
"165.231.163.174","AS63119","2017-08-29T03:35:22.400612","1","Heartbleed"
"165.231.163.182","AS63119","2017-08-29T03:35:13.371078","1","Heartbleed"
"165.231.171.230",,"2017-08-29T03:34:28.843221","1","Heartbleed"
